transaction_ref,transaction_cur,timestamp_ref_ns,timestamp_cur_ns,scan_ref_ns,scan_cur_ns,eval_time_s,mismatch_ref_ms,mismatch_cur_ms,image_dt_s,scan_dt_s,attempted,status,detected,klt_valid,klt_forward_valid,fb_valid,depth_associated,pnp_correspondences,pnp_inliers,inlier_ratio,reprojection_rmse_px,feature_ms,klt_ms,depth_ms,projection_ms,association_ms,pnp_ms,preprocess_ms,total_ms,T_Ccur_Cref_00,T_Ccur_Cref_01,T_Ccur_Cref_02,T_Ccur_Cref_03,T_Ccur_Cref_10,T_Ccur_Cref_11,T_Ccur_Cref_12,T_Ccur_Cref_13,T_Ccur_Cref_20,T_Ccur_Cref_21,T_Ccur_Cref_22,T_Ccur_Cref_23,visual_t_error_m,visual_r_error_deg,visual_scan_gt_t_error_m,visual_scan_gt_r_error_deg,camera_t_error_m,camera_r_error_deg,visual_relative_t_m,visual_relative_r_deg,visual_camera_relative_t_m,visual_camera_relative_r_deg,gt_relative_t_m,gt_relative_r_deg,gt_camera_relative_t_m,gt_camera_relative_r_deg,ikfom_t_error_m,ikfom_r_error_deg,paired_evaluable,e_visual_x,e_visual_y,e_visual_z,e_visual_roll,e_visual_pitch,e_visual_yaw,e_ikfom_x,e_ikfom_y,e_ikfom_z,e_ikfom_roll,e_ikfom_pitch,e_ikfom_yaw,ikfom_ref_image_offset_ms,ikfom_cur_image_offset_ms,image_minus_ikfom_dt_ms,ikfom_matched_dt_s,directional_evaluable
1,2,1660857393704842966,1660857393786305998,1660857393702086285,1660857393802946404,0.6051392555236816,2.756681,-16.640406,0.081463032,0.10086011900000001,1,VALID,161,161,161,161,41,41,41,1.0,0.031106582524735922,11.129520979011431,4.938940983265638,7.969383004819974,4.476797999814153,3.4667440049815923,1.8761639948934317,19.600649015046656,45.541548024630174,0.999999998454858,5.5508919607684135e-05,3.0073066395820273e-06,-3.674324606191834e-05,-5.550910280391534e-05,0.9999999966018425,6.095124609364712e-05,-0.00013692103769230078,-3.0039232914927932e-06,-6.09514129323647e-05,0.9999999981379508,-6.259321418109891e-05,0.0014179846229302436,0.053896070144696086,0.0017811491609075968,0.06729865523739631,0.0014024081478049716,0.05389607014469277,0.00016684233784929493,0.004726588801722745,0.00015496885866335872,0.00472658880172276,0.0015295377747208917,0.05640760987021536,0.0015080552993255105,0.0564076098702153,0.0024584759933123346,0.07059065677446395,1,-0.0009531544027617195,-0.0006839675405854996,0.0007964706389993287,-0.05087595217784804,-0.009077727321548724,0.015301702382903175,0.002017985737938138,-0.0010985400756526912,0.0008746699225172422,-0.06775087369130901,-0.007626080305699502,0.0182993961929568,-2.756517,16.640331,-19.39684800000001,0.10085988000000001,1
2,3,1660857393786305998,1660857393908525486,1660857393802946404,1660857393903806285,0.7059991359710693,-16.640406,4.719201,0.122219488,0.10085988100000001,1,VALID,179,179,179,179,42,42,42,1.0,0.037140033297753436,8.839823014568537,3.991956007666886,3.684161987621337,2.2623199911322445,1.4073839993216097,0.35109499003738165,5.438802036223933,22.32672003447078,0.9999999975245197,-4.004844745994856e-05,5.7853974844731485e-05,-0.00016833295258221936,4.004958874143265e-05,0.9999999990034595,-1.9725909467618076e-05,3.6734983839695047e-05,-5.785318479504128e-05,1.97282264466498e-05,0.9999999981319031,-7.004851396821866e-05,0.003896863246437636,0.08926637336986575,0.0038834713660893167,0.09604789292553874,0.0039091206441421965,0.08926637336987776,0.00019667198534983492,0.0041869526532109435,0.00018598988217617132,0.00418695265321099,0.003837166381359406,0.09180489333202814,0.003852288265437002,0.09180489333202829,0.009603677004879059,0.0983857137872611,1,0.003712797127891219,0.0004153431076622156,0.0011082286548707704,0.08719956529463678,0.01527752583393037,-0.011447808858537816,0.009515772803650149,0.000941429338918513,-0.0008912860164831813,0.09584205407496903,0.01429159855126446,-0.017011554615790743,16.640331,-4.719276,21.35960699999999,0.10085988100000001,1
3,4,1660857393908525486,1660857393989997350,1660857393903806285,1660857394004610375,0.8068032264709473,4.719201,-14.613025,0.081471864,0.10080409000000001,1,VALID,163,163,163,163,45,45,45,1.0,0.03546982172446484,5.7553939986974,3.389707999303937,6.152376008685678,2.1829090255778283,3.9338470087386668,0.8079310064204037,6.1969360103830695,22.338454029522836,0.9999999976174098,5.628216293446326e-05,-3.996871995063599e-05,8.316260412443212e-05,-5.628082245824647e-05,0.9999999978538202,3.353846501756503e-05,-7.514044527917043e-05,3.997060748221344e-05,-3.353621546521944e-05,0.9999999986388364,-8.696914138140389e-05,0.003175469299301877,0.08301104917795896,0.0039093504243841596,0.10191398760256883,0.0031892072491825343,0.08301104917795123,0.00014841839044706844,0.004397216341478744,0.00014186520642542214,0.004397216341478666,0.0030947348142090366,0.07970295400045188,0.0031066482493319796,0.07970295400045174,0.012345225075058034,0.09892743263057596,1,0.0030533286691820983,0.0006449167250667845,0.0005872578024075672,0.08085331206806638,0.009841510106386668,-0.016015571438849293,0.012212930065255676,0.001240767617146243,-0.001307446784866164,0.09631071026871074,0.014565742207430654,-0.017271375615665475,-4.719276,14.61295,-19.33222600000001,0.10080409000000001,1
4,5,1660857393989997350,1660857394112203838,1660857394004610375,1660857394105470255,0.9076633453369141,-14.613025,6.733583,0.122206488,0.10085988000000001,1,VALID,173,173,173,173,39,39,39,1.0,0.04671179027877558,4.752254986669868,3.750860982108861,3.911706997314468,2.4636739981360734,1.4314799918793142,0.34725398290902376,3.5710879892576486,16.35265100048855,0.9999999954836796,-6.585840534608525e-05,-6.852234278026353e-05,0.0001457449628104657,6.58568494240276e-05,0.999999997573593,-2.270879305800007e-05,-8.865504055256573e-06,6.8523838178886e-05,2.2704280289867113e-05,0.9999999973944996,-0.00016154092997632303,0.007956506487101361,0.020127362616709814,0.007960407502695836,0.01914058788538527,0.007948861671461421,0.02012736261670728,0.00022467482309856423,0.005598659037945223,0.00021775137979905687,0.005598659037945292,0.008129590495822136,0.017206362560590098,0.008123779675527047,0.017206362560590154,0.0053973788984976,0.01397051904735505,1,-0.007903563320868626,-0.0007467669056015158,-0.0005310569658751136,0.003202233533180009,0.005757978881811017,-0.01901830659163448,0.004086530491007474,0.0002413324499707794,-0.0035176307606973878,-0.006625981006207154,0.0022189710852803823,-0.01209756380696231,14.61295,-6.733419,21.34636899999999,0.10086011900000001,1
5,6,1660857394112203838,1660857394193683222,1660857394105470255,1660857394206330374,1.0085234642028809,6.733583,-12.647152,0.081479384,0.10086011900000001,1,VALID,163,162,163,162,39,39,39,1.0,0.04945135437678187,5.38921300903894,3.731793985934928,4.884744994342327,3.350876009790227,1.514872012194246,0.3432040102779865,4.162647994235158,18.530319997807965,0.9999999934464572,0.0001118909146516317,2.4238581815454624e-05,-0.00024040130249456938,-0.00011189126276351076,0.9999999936370533,1.4361011410825242e-05,8.8470206302057e-05,-2.4236974794520175e-05,-1.436372340224268e-05,0.9999999996031262,-0.00022063341819322514,0.006381026554953253,0.008267773322382564,0.007943276236951236,0.010497407291062043,0.006378460882216423,0.008267773322382734,0.0003414019145457865,0.00661099035962565,0.0003380811572209261,0.006610990359625582,0.006572993192847695,0.01105382256808446,0.006569919835978673,0.011053822568084471,0.0077620644875626196,0.013731453580791359,1,-0.006288136675933416,-0.00100593114418003,-0.0004061275328862915,0.0011311814934877825,0.0010483277881526572,-0.008122643958563384,0.007128740301768459,0.0006687962607359507,-0.002997235122683653,-0.007269302554635076,0.002208098126183419,-0.011438424941088538,-6.733419,12.647316,-19.38073500000001,0.10086011900000001,1
6,7,1660857394193683222,1660857394315901478,1660857394206330374,1660857394307190255,1.1093833446502686,-12.647152,8.711223,0.12221825600000001,0.10085988100000001,1,VALID,174,173,174,173,41,41,40,0.975609756097561,0.038758880779078964,7.2928939771372825,3.9353840111289173,3.6836730141658336,2.256801992189139,1.4131819771137089,0.37239701487123966,4.192191001493484,19.496024993713945,0.9999999964670316,-8.263945906828827e-05,-1.538364210785214e-05,-5.3455380827292375e-06,8.263929789926933e-05,0.9999999965304895,-1.0476989780409415e-05,-7.247919401148967e-06,1.5384507867253844e-05,1.0475718450000903e-05,0.9999999998267881,-3.441137822390089e-06,0.01097604868873815,0.06661893081783002,0.011012367862761404,0.061131718991047045,0.010980759870045634,0.06661893081783257,3.3308860343118967e-06,0.004853493879515401,9.640982447455434e-06,0.004853493879515539,0.010973033558282405,0.06205642775960754,0.010976459742335744,0.062056427759607465,0.0286179350874911,0.057588086791654815,1,0.010732403265914636,0.0009984319328654615,-0.002071786338107737,-0.06543283536964478,0.00770202569189407,0.0098599234146404,0.02824243491776078,0.0027273548626125335,-0.0037299616675355355,-0.05593681756881802,0.006783030107997293,0.0118899941505513,12.647316,-8.71106,21.358376,0.10085988000000001,1
7,8,1660857394315901478,1660857394397370190,1660857394307190255,1660857394408050373,1.2102434635162354,8.711223,-10.680183,0.081468712,0.10086011800000001,1,VALID,155,155,155,155,40,40,40,1.0,0.033372008664892254,7.776899001328275,3.5811449924949557,4.012908000731841,2.6078280061483383,1.3909720000810921,0.3673690080177039,2.8343949816189706,18.591711996123195,0.9999999999289307,-1.7786184904117696e-06,-1.178876766716222e-05,-5.745639251791115e-06,1.7785685912681235e-06,0.9999999999894601,-4.232779265712945e-06,8.783219123009324e-06,1.1788775195537428e-05,4.232758298280243e-06,0.9999999999215543,-2.1086567672252054e-05,0.008914095512147795,0.04572977329595132,0.011031518429843621,0.05661470666398484,0.008915028285217405,0.04572977329595229,2.3018509491696217e-05,0.0007248648877917735,2.355420651966406e-05,0.0007248648877917794,0.008895818726696569,0.04573490386360946,0.008896410866367192,0.04573490386360937,0.031928929381479766,0.057458782456353816,1,0.00875207912376044,0.0008282178545850476,-0.0014752169320058294,-0.044629570119872806,0.005325022792478032,0.008427503666544366,0.03162604480626108,0.003216592751761481,-0.0029838485935456023,-0.055857753908195404,0.007492112519430478,0.011189707046845684,-8.71106,10.680347,-19.39140700000001,0.10086011900000001,1
8,9,1660857394397370190,1660857394519585350,1660857394408050373,1660857394508910254,1.311103343963623,-10.680183,10.675096,0.12221516,0.10085988100000001,1,VALID,178,175,178,175,39,39,37,0.9487179487179487,0.04322300364188741,5.316366994520649,3.617673006374389,3.894594992743805,2.21350000356324,1.6597240173723549,0.7122480019461364,3.8429129926953465,17.42179098073393,0.9999999988966248,1.5055253306392703e-05,4.449819865751397e-05,-0.00011078238730518801,-1.505245588195533e-05,0.9999999979106649,-6.28656807653423e-05,0.00012025514896990845,-4.44991450233037e-05,6.28650108887964e-05,0.9999999970339082,4.738993114437588e-05,0.0054710417946063315,0.19278443902019166,0.00439150647174497,0.17973256016128294,0.005335417794481888,0.19278443902020845,0.0001818567237254253,0.0044964602173006765,0.0001702346726277589,0.004496460217300662,0.005623550184641142,0.19214706141981808,0.005480062746296737,0.19214706141981805,0.025441552022714045,0.17828910789065294,1,0.0024054217005899372,0.0007149833237099162,-0.004861588588874733,0.1923274093255596,0.001052840153022052,-0.01322318082059833,0.02475443684913359,0.003241576392137548,-0.004897204110577654,0.17758200689832038,-0.0023887773027326527,-0.01568588210435593,10.680347,-10.674932,21.355278999999992,0.10085988100000001,1
9,10,1660857394519585350,1660857394601056710,1660857394508910254,1660857394609770373,1.4119634628295898,10.675096,-8.713663,0.08147136,0.10086011900000001,1,VALID,179,175,179,175,38,38,38,1.0,0.042153812393524656,4.904719011392444,3.7956999731250107,4.494327993597835,2.5373570097144693,1.9368560169823468,0.5320560012478381,3.9195300196297467,17.671965004410595,0.9999999977081326,1.1285754288800807e-05,-6.675602144341923e-05,0.00018218562648035218,-1.127827540962911e-05,0.9999999936607773,0.00011203234290221257,-0.0002550574674271411,6.675728538973097e-05,-0.00011203158975265501,0.9999999914961939,1.9487012717086487e-05,0.003961085047200915,0.14601122936967273,0.004833906861954018,0.18041578862493318,0.0038214037948100287,0.14601122936965563,0.00033734589635944117,0.007500036405904863,0.0003140472223265498,0.007500036405904853,0.0036708405571290424,0.14471961547727594,0.003550566965078243,0.144719615477276,0.02837778996276236,0.17767037919605422,1,0.0009266148542648115,0.0007292200387970452,-0.003781509989148689,0.14485063641422233,-0.00883633882548491,-0.01611991430439381,0.027810134385788318,0.003796197373421999,-0.004181420107699566,0.17703761923975833,-0.0027464740368853087,-0.014731839514780107,-10.674932,8.713826,-19.388758000000006,0.10086011800000001,1
10,11,1660857394601056710,1660857394723268574,1660857394609770373,1660857394710630253,1.5128231048583984,-8.713663,12.638321,0.122211864,0.10085988000000001,1,VALID,178,165,178,165,35,35,35,1.0,0.08465603912814151,3.7660860107280314,4.169633000856265,4.603701003361493,2.7889279881492257,1.7928419983945787,0.42366099660284817,2.9167390312068164,15.899376012384892,0.9999999996061056,2.071573041682039e-05,-1.8937981676373605e-05,1.716515410868376e-05,-2.0716210095866326e-05,0.9999999994646377,-2.532909582792699e-05,1.3077322172417224e-05,1.8937456955488143e-05,2.5329488141176573e-05,0.9999999994998948,0.0001102784377202438,0.005596133845869353,0.15866375959829634,0.004850477543800033,0.12751329387793212,0.005605451200776816,0.15866375959829643,0.00011366977421120892,0.0021661757928795795,0.00011236989230569614,0.0021661757928795487,0.005695220243801734,0.1573446873933363,0.005704280966409737,0.1573446873933363,0.034635848987508745,0.12614972217911527,1,0.005272176862512424,0.0018454348097611492,-0.0003394635682882861,0.1579906607619234,0.014337401758454816,-0.0027332597598253004,0.034227407741096574,0.005273223102411248,0.000565431271180947,0.12550296016315685,0.012757563788339182,7.89542113698284e-05,8.713826,-12.638396,21.352222000000005,0.100859642,1
